1303,Textile product manufacturing,4,0,4,2,0,3,3,4,20,3,7,0,1,5,0,3,1,0,3,2,2,4,2,0,1,0,0,38,0,1,0,1,4,0,3,6,0,1,0,5,1,11,0,0,0,1,2,0,3,0,0,6,1,7,9,13,2,3,4,3,0,4,14,1,1,1,0,6,7,294,233,23,301,21,23,4,7,24,2,1,1,2,1,1,1,0,1,2,0,1,1,1,1,1,1,6,1,2,3,4,7,5,24,17,1,19,25,1,2,2,5,4,7,6, 1 322,879,0,305,18,255,-18,241, 1 679, 3 001
1304,Knitted product manufacturing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,12,0,2,0,0,0,16,31,44
1305,Clothing manufacturing,3,0,2,0,0,0,1,3,1,2,5,0,0,2,0,2,1,0,1,1,1,2,1,0,0,2,3,9,0,5,0,0,1,0,1,2,1,1,0,1,0,2,0,4,0,0,0,0,1,0,0,2,0,1,2,1,0,1,2,1,0,3,1,1,1,1,0,1,1,11,5,4,21,13,12,1,7,5,1,0,1,1,0,0,0,0,0,2,0,0,0,1,1,1,0,3,1,1,1,1,2,1,2,3,0,14,5,0,2,1,5,4,1,0,226,165,0,51,1,10,27,612,865, 1 091
1306,Footwear manufacturing,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,1,0,0,47,40,0,5,0,1,0,380,426,473
1401,Sawmill product manufacturing,7,2,2,0,0,1,3,2,1,2,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,751,263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,1,176,2,0,1,0,1,0,504,75,154, 1 323,41,31,1,3,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,2,2,0,1,0,5,5,0,3,4,1,1,0,0,0,0,0,17,0,0, 3 485,46,0,12,0,3,-39, 1 501, 1 524, 5 009
1402,Other wood product manufacturing,10,3,5,1,0,2,3,7,7,10,28,2,2,2,0,2,1,0,1,2,1,2,1,1,1,0,0,4,0,0,0,20,192,3,1,1,10,1,0,2,0,19,1,7,0,2,18,2,7,1,0,113,4,8,3,17,19,20,3,1,1,20,380,7,1,2,0,14,9, 4 317,589,294, 2 361,19,17,4,9,13,4,1,2,3,12,0,2,0,1,4,0,1,1,1,2,32,7,5,2,2,2,11,21,3,38,75,19,11,5,6,2,1,7,27,2,0, 8 942,277,0,237,13,94,-83,149,688, 9 630
1501,"Pulp, paper and paperboard manufacturing",1,9,1,0,0,0,0,0,3,3,8,0,6,25,2,60,17,3,27,8,34,33,82,11,8,0,0,1,0,0,0,1,10,69,239,205,3,58,0,20,6,23,3,2,1,33,9,1,1,2,0,5,0,5,2,0,0,0,4,2,1,5,1,0,2,4,3,1,5,91,2,38,33,215,130,2,9,7,3,4,9,7,1,285,1,0,0,1,1,5,0,17,4,0,3,4,1,7,3,55,1,6,2,3,1,6,10,5,0,0,1,2,11,2, 2 060,144,0,13,0,3,16,575,751, 2 811
1502,Paper stationery and other converted paper product manufacturing,4,33,4,0,0,0,1,5,9,3,16,1,5,72,5,178,54,10,67,26,102,109,208,29,25,0,0,1,0,0,0,1,6,29,166,103,6,177,1,37,17,53,4,3,1,66,8,1,2,1,0,10,2,14,8,2,2,3,15,5,5,18,3,1,13,11,2,2,14,227,21,100,106,484,370,25,123,14,5,7,15,13,2,131,2,1,1,14,0,19,10,26,7,3,7,44,8,39,7,102,10,12,34,52,7,170,112,6,2,2,9,13,32,3, 4 173, 1 814,0,46,1,10,16,709, 2 596, 6 769
1601,Printing (including the reproduction of recorded media),45,10,178,5,1,10,43,27,27,6,45,3,8,9,2,20,3,1,32,5,37,25,12,5,12,0,0,2,0,0,0,2,9,12,75,203,13,19,0,9,2,21,0,2,2,18,8,2,7,1,1,26,11,29,21,4,1,3,13,7,2,19,8,2,10,23,8,4,20,154,48,77,223,188,532,19,53,57,4,99,214,39,66,319,60,25,4,93,1,46,137,125,29,0,231,647,64,113,39,231,62,26,77,86,25,70,33,58,84,101,41,24,68,5, 5 893,233,0,52,2,13,-30,203,471, 6 364
1701,Petroleum and coal product manufacturing,545,68,397,75,303,71,50, 1 008,106, 1 079,454,82,77,20,1,13,5,3,5,14,8,15,5,6,12,0,1,2,0,0,4,3,10,3,6,4,60,7,0,170,10,25,5,8,1,25,4,2,18,719,1,27,6,18,9,11,18,11,6,3,1,10,2,2,92,17,2,96,82,310,101,433,730,304,175,24,59, 2 134,196,591, 1 364,213,155,7,20,4,1,309,1,71,25,90,38,1,12,148,3,29,6,26,82,94,18,16,4,82,29,4,19,4,25,8,11,6, 13 904, 6 069,2,111,3,22,-275, 3 685, 9 618, 23 522
1801,Human pharmaceutical and medicinal product manufacturing,17,2,5,1,1,1,2,12,3,6,19,1,17,3,0,3,3,1,2,2,2,5,1,0,1,0,0,1,0,0,0,1,3,2,3,2,3,38,3,3,1,4,1,2,0,2,1,1,4,1,0,5,1,4,4,2,1,4,5,2,0,6,2,0,2,3,0,1,1,21,26,18,50,25,15,3,12,9,2,1,3,2,3,1,1,0,1,25,0,4,6,5,2,3,4,31,9,9,2,9,5,4,10,14,1,130,15,1,13,2,10,7,5,1,748, 3 599, 3 910,196,5,44,-71, 2 882, 10 564, 11 312
1802,Veterinary pharmaceutical and medicinal product manufacturing,45,3,2,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,12,2,2,1,3,0,0,2,4,0,2,2,1,43,1,0,0,1,0,187,10,8,17,0,4,-1,549,586,773
1803,Basic chemical manufacturing,549,25,353,2,1,2,107,235,48,82,403,29,65,8,0,9,3,1,4,3,10,9,5,2,3,0,1,7,0,0,0,3,53,15,49,28,143,398,1,562,38, 1 225,5,28,1,19,16,18,22,11,1,22,6,28,23,32,17,20,27,81,7,31,7,10,9,16,2,44,24,133,129,172, 1 077,86,36,7,16,28,7,2,5,7,20,4,7,1,8,50,0,7,4,7,23,11,27,157,29,27,38,50,46,22,20,31,4,159,153,5,17,22,23,24,41,2, 7 752,903,62,398,7,86,-21, 4 544, 5 980, 13 732
1804,Cleaning compounds and toiletry preparation manufacturing,8,1,2,1,0,1,2,9,5,3,12,1,3,7,0,5,4,1,3,8,4,8,2,0,1,0,0,1,0,0,0,1,2,1,3,3,10,7,0,24,9,29,1,1,0,3,1,0,3,1,0,2,0,2,2,1,1,1,2,1,0,4,1,0,2,2,0,4,3,14,20,8,40,42,22,10,21,5,3,0,2,2,3,1,0,1,1,5,0,2,1,1,8,1,7,22,2,11,27,3,6,3,7,11,1,26,24,1,3,1,6,4,16,2,616,958,68,96,2,22,-2, 1 339, 2 483, 3 099
1901,Polymer product manufacturing,19,3,35,8,1,10,12,39,55,13,57,3,12,23,1,115,11,5,23,21,36,38,96,7,10,0,0,15,0,1,1,4,120,12,109,104,60,215,1,166,38,624,2,16,2,15,12,9,11,3,1,84,11,31,84,22,27,54,75,40,14,56,71,45,6,9,4,59,12,728,349,526, 3 366,375,206,32,33,80,6,11,23,67,8,10,4,1,2,10,0,3,2,2,9,205,15,65,8,16,20,46,67,12,33,56,7,131,53,7,8,7,240,130,41,2, 9 920, 1 582,0,752,16,84,114, 1 451, 3 999, 13 919
